"symbol","track","segment","mysymbol","strikestep","exchange"
ACC,true,EQ,ACC,0.0,NSE
ADANIENT,true,EQ,ADANIENT,0.0,NSE
ADANIGREEN,true,EQ,ADANIGREEN,0.0,NSE
ADANIPORTS,true,EQ,ADANIPORTS,0.0,NSE
AMBUJACEM,true,EQ,AMBUJACEM,0.0,NSE
APOLLOHOSP,true,EQ,APOLLOHOSP,0.0,NSE
ASIANPAINT,true,EQ,ASIANPAINT,0.0,NSE
AUROPHARMA,true,EQ,AUROPHARMA,0.0,NSE
DMART,true,EQ,DMART,0.0,NSE
AXISBANK,true,EQ,AXISBANK,0.0,NSE
BAJAJ-AUTO,true,EQ,BAJAJ-AUTO,0.0,NSE
BAJFINANCE,true,EQ,BAJFINANCE,0.0,NSE
BAJAJFINSV,true,EQ,BAJAJFINSV,0.0,NSE
BAJAJHLDNG,true,EQ,BAJAJHLDNG,0.0,NSE
BANDHANBNK,true,EQ,BANDHANBNK,0.0,NSE
BANKBARODA,true,EQ,BANKBARODA,0.0,NSE
BERGEPAINT,true,EQ,BERGEPAINT,0.0,NSE
BPCL,true,EQ,BPCL,0.0,NSE
BHARTIARTL,true,EQ,BHARTIARTL,0.0,NSE
BIOCON,true,EQ,BIOCON,0.0,NSE
BOSCHLTD,true,EQ,BOSCHLTD,0.0,NSE
BRITANNIA,true,EQ,BRITANNIA,0.0,NSE
CHOLAFIN,true,EQ,CHOLAFIN,0.0,NSE
CIPLA,true,EQ,CIPLA,0.0,NSE
COALINDIA,true,EQ,COALINDIA,0.0,NSE
COLPAL,true,EQ,COLPAL,0.0,NSE
DLF,true,EQ,DLF,0.0,NSE
DABUR,true,EQ,DABUR,0.0,NSE
DIVISLAB,true,EQ,DIVISLAB,0.0,NSE
DRREDDY,true,EQ,DRREDDY,0.0,NSE
EICHERMOT,true,EQ,EICHERMOT,0.0,NSE
GAIL,true,EQ,GAIL,0.0,NSE
GLAND,true,EQ,GLAND,0.0,NSE
GODREJCP,true,EQ,GODREJCP,0.0,NSE
GRASIM,true,EQ,GRASIM,0.0,NSE
HCLTECH,true,EQ,HCLTECH,0.0,NSE
HDFCAMC,true,EQ,HDFCAMC,0.0,NSE
HDFCBANK,true,EQ,HDFCBANK,0.0,NSE
HDFCLIFE,true,EQ,HDFCLIFE,0.0,NSE
HAVELLS,true,EQ,HAVELLS,0.0,NSE
HEROMOTOCO,true,EQ,HEROMOTOCO,0.0,NSE
HINDALCO,true,EQ,HINDALCO,0.0,NSE
HINDPETRO,true,EQ,HINDPETRO,0.0,NSE
HINDUNILVR,true,EQ,HINDUNILVR,0.0,NSE
HDFC,true,EQ,HDFC,0.0,NSE
ICICIBANK,true,EQ,ICICIBANK,0.0,NSE
ICICIGI,true,EQ,ICICIGI,0.0,NSE
ICICIPRULI,true,EQ,ICICIPRULI,0.0,NSE
ITC,true,EQ,ITC,0.0,NSE
IOC,true,EQ,IOC,0.0,NSE
IGL,true,EQ,IGL,0.0,NSE
INDUSTOWER,true,EQ,INDUSTOWER,0.0,NSE
INDUSINDBK,true,EQ,INDUSINDBK,0.0,NSE
NAUKRI,true,EQ,NAUKRI,0.0,NSE
INFY,true,EQ,INFY,0.0,NSE
INDIGO,true,EQ,INDIGO,0.0,NSE
JSWSTEEL,true,EQ,JSWSTEEL,0.0,NSE
JINDALSTEL,true,EQ,JINDALSTEL,0.0,NSE
JUBLFOOD,true,EQ,JUBLFOOD,0.0,NSE
KOTAKBANK,true,EQ,KOTAKBANK,0.0,NSE
LTI,true,EQ,LTI,0.0,NSE
LT,true,EQ,LT,0.0,NSE
LUPIN,true,EQ,LUPIN,0.0,NSE
M&M,true,EQ,M&M,0.0,NSE
MARICO,true,EQ,MARICO,0.0,NSE
MARUTI,true,EQ,MARUTI,0.0,NSE
MUTHOOTFIN,true,EQ,MUTHOOTFIN,0.0,NSE
NMDC,true,EQ,NMDC,0.0,NSE
NTPC,true,EQ,NTPC,0.0,NSE
NESTLEIND,true,EQ,NESTLEIND,0.0,NSE
ONGC,true,EQ,ONGC,0.0,NSE
PIIND,true,EQ,PIIND,0.0,NSE
PIDILITIND,true,EQ,PIDILITIND,0.0,NSE
PEL,true,EQ,PEL,0.0,NSE
POWERGRID,true,EQ,POWERGRID,0.0,NSE
PGHH,true,EQ,PGHH,0.0,NSE
PNB,true,EQ,PNB,0.0,NSE
RELIANCE,true,EQ,RELIANCE,0.0,NSE
SBICARD,true,EQ,SBICARD,0.0,NSE
SBILIFE,true,EQ,SBILIFE,0.0,NSE
SHREECEM,true,EQ,SHREECEM,0.0,NSE
SIEMENS,true,EQ,SIEMENS,0.0,NSE
SBIN,true,EQ,SBIN,0.0,NSE
SAIL,true,EQ,SAIL,0.0,NSE
SUNPHARMA,true,EQ,SUNPHARMA,0.0,NSE
TCS,true,EQ,TCS,0.0,NSE
TATACONSUM,true,EQ,TATACONSUM,0.0,NSE
TATAMOTORS,true,EQ,TATAMOTORS,0.0,NSE
TATASTEEL,true,EQ,TATASTEEL,0.0,NSE
TECHM,true,EQ,TECHM,0.0,NSE
TITAN,true,EQ,TITAN,0.0,NSE
TORNTPHARM,true,EQ,TORNTPHARM,0.0,NSE
UPL,true,EQ,UPL,0.0,NSE
ULTRACEMCO,true,EQ,ULTRACEMCO,0.0,NSE
MCDOWELL-N,true,EQ,MCDOWELL-N,0.0,NSE
VEDL,true,EQ,VEDL,0.0,NSE
WIPRO,true,EQ,WIPRO,0.0,NSE
YESBANK,true,EQ,YESBANK,0.0,NSE
ADANIENT,true,FUT,ADANIENT-FUT,50.0,NFO
ASHOKLEY,true,FUT,ASHOKLEY-FUT,50.0,NFO
ASIANPAINT,true,FUT,ASIANPAINT-FUT,50.0,NFO
AXISBANK,true,FUT,AXISBANK-FUT,50.0,NFO
BAJFINANCE,true,FUT,BAJFINANCE-FUT,50.0,NFO
BANKNIFTY,true,FUT,BANKNIFTY-FUT,50.0,NFO
BHARTIARTL,true,FUT,BHARTIARTL-FUT,50.0,NFO
FINNIFTY,true,FUT,FINNIFTY-FUT,50.0,NFO
HDFCBANK,true,FUT,HDFCBANK-FUT,50.0,NFO
HINDALCO,true,FUT,HINDALCO-FUT,50.0,NFO
ICICIBANK,true,FUT,ICICIBANK-FUT,50.0,NFO
INDUSINDBK,true,FUT,INDUSINDBK-FUT,50.0,NFO
INFY,true,FUT,INFY-FUT,50.0,NFO
JSWSTEEL,true,FUT,JSWSTEEL-FUT,50.0,NFO
KOTAKBANK,true,FUT,KOTAKBANK-FUT,50.0,NFO
MARUTI,true,FUT,MARUTI-FUT,50.0,NFO
NIFTY,true,FUT,NIFTY-FUT,50.0,NFO
RELIANCE,true,FUT,RELIANCE-FUT,50.0,NFO
SBIN,true,FUT,SBIN-FUT,50.0,NFO
TATAMOTORS,true,FUT,TATAMOTORS-FUT,50.0,NFO
TATASTEEL,true,FUT,TATASTEEL-FUT,50.0,NFO
TCS,true,FUT,TCS-FUT,50.0,NFO
WIPRO,true,FUT,WIPRO-FUT,50.0,NFO
ZEEL,true,FUT,ZEEL-FUT,50.0,NFO
